Placement ID,Flight ID,CMP,Fill Rate,Time Bound,Mean Latency of Failure,Mean Latency of Success,Standard Deviation of Failure,Standard Deviation of Success
7b942e03f80ffbf659cc2ae5,4667,0.2,0.0614,2.0,0.2104406357,0.2126860619,0.020270739,0
7d918a857d49ee1d809b06e5,4326,0.49,0.0752,2.0,0.7100110054,0.7139010429,0,0
7de34667719433ecdcab94f0,3028,1.63,0.0306,2.0,0.4400621142,0.3294739723,0.3191598718,0
7de34667719433ecdcab94f0,3029,0.95,0.0351,2.0,0.2639456987,0.7348201275,0.3399942743,0
7de34667719433ecdcab94f0,4326,0.49,0.0452,2.0,0.0053445101,0.7121610641,0.0023863546,0
8156b16e789e1cd8d741aa82,3028,1.63,0.0321,2.0,0.5419111206,0.7171840668,0.189932744,0
8156b16e789e1cd8d741aa82,3029,0.95,0.0242,2.0,0.5505557833,0.520960927,0.1959588151,0.1958351866
8156b16e789e1cd8d741aa82,3034,0.72,0.0216,2.0,0.0244930136,0.0095270157,0.1764748083,0.0011901129
8156b16e789e1cd8d741aa82,3345,1.3,0.0313,2.0,0.5464475316,0.5754738221,0.1955996011,0.1706275735
8156b16e789e1cd8d741aa82,4326,0.49,0.0396,2.0,0.5281737932,0.364112258,0.1933976901,0.2441678886
8156b16e789e1cd8d741aa82,4407,1.75,0.0266,2.0,0.6828710599,0.8859393597,0.2329187295,0.2283106004
8156b16e789e1cd8d741aa82,4653,0.11,0.0022,2.0,0.2388892972,0.2621887028,0.0393407322,0.0206459962
8156b16e789e1cd8d741aa82,4667,0.2,0.0392,2.0,0.236697939,0.24484694,0.0365188282,0.0139209855
82fece0b3fd7c0394e26eafe,3028,1.63,0.0207,2.0,0.5576139539,0.3717418909,0.184305501,0.028345341
82fece0b3fd7c0394e26eafe,3029,0.95,0.0163,2.0,0.4801069555,0.5540410678,0.1775097953,0.2950285839
82fece0b3fd7c0394e26eafe,3030,1.22,0.0229,2.0,0.4548374538,0.5723619461,0.2095299728,0
82fece0b3fd7c0394e26eafe,4644,0.08,0.1909,2.0,0.5385788547,0.4349796772,0.2083894442,0.1683323319
83f5dae509db8e5458fca339,3028,1.63,0.0291,2.0,0.520690373,0.6818811893,0.1997998256,0
83f5dae509db8e5458fca339,3031,0.83,0.0248,2.0,0.5054862797,0.2503950596,0.2248454661,0
83f5dae509db8e5458fca339,4672,0.5,0.9289,2.0,0.036735143,0.0173821979,0.0514144526,0.0026712785
91041d3aa2dd384f758e7784,3030,1.22,0.0148,2.0,0.5319103599,0.2365250587,0.2152727101,0
91041d3aa2dd384f758e7784,4326,0.49,0.0283,2.0,0.5909833908,0.7154488564,0.1896393545,0
91041d3aa2dd384f758e7784,4667,0.2,0.0861,2.0,0.2290869554,0.2935609818,0.0433217942,0
a1bc58b4c86d8dcd3911a1f7,3028,1.63,0.0095,2.0,0.3802437653,0.3682630062,0.1417598009,0.009522626
a1bc58b4c86d8dcd3911a1f7,3029,0.95,0.024,2.0,0.3527262559,0.3177142143,0.1129860168,0
a1bc58b4c86d8dcd3911a1f7,3030,1.22,0.0281,2.0,0.5239439756,0.2387640476,0.2848141609,0
a1bc58b4c86d8dcd3911a1f7,3031,0.83,0.0255,2.0,0.5387829824,0.629365921,0.2804952414,0
a1bc58b4c86d8dcd3911a1f7,4326,0.49,0.039,2.0,0.3376682569,0.350620985,0.0740625873,0.0236077723
a34460a2034597cdc10dcd0d,3028,1.63,0.0165,2.0,0.5127580867,0.4720947301,0.1896815714,0.1537751068
a34460a2034597cdc10dcd0d,3029,0.95,0.0155,2.0,0.5279906002,0.5032205135,0.1929045424,0.1966115878
a34460a2034597cdc10dcd0d,3030,1.22,0.0144,2.0,0.4447913258,0.3390445709,0.2072820958,0.1881178665
a34460a2034597cdc10dcd0d,3032,0.66,0.0148,2.0,0.4246748139,0.323816606,0.2055580899,0.1556748265
a34460a2034597cdc10dcd0d,4164,0.38,0.0267,2.0,0.4195028368,0.6977850199,0.2025258723,0.012148925
a34460a2034597cdc10dcd0d,4326,0.49,0.0181,2.0,0.5193814994,0.4901543486,0.1898418386,0.1800366948
a34460a2034597cdc10dcd0d,4644,0.08,0.1261,2.0,0.5298811449,0.5690777387,0.2082492105,0.1914916945
a34460a2034597cdc10dcd0d,4667,0.2,0.035,2.0,0.239101847,0.2607502937,0.0330627334,0.0301040319
a38da4b10a0125956040fe2c,3028,1.63,0.0289,2.0,0.5638689995,0.6160757542,0.1774736603,0.1686236076
a38da4b10a0125956040fe2c,3029,0.95,0.034,2.0,0.5256063721,0.7562874556,0.1959899776,0.0446580046
a38da4b10a0125956040fe2c,4326,0.49,0.0415,2.0,0.5829426238,0.5414521694,0.1790442464,0.1765707954
a38da4b10a0125956040fe2c,4672,0.5,0.8742,2.0,0.0197675133,0.020497288,0.0033874717,0.0070129025
abc984360a3f73ccde8b180d,4326,0.49,0.0365,2.0,0.6090238548,0.4159388542,0.1769087031,0
ac62c3f2547607ba0bcf702b,3028,1.63,0.0381,2.0,0.581907657,0.73564291,0.1870407517,0
ac62c3f2547607ba0bcf702b,3030,1.22,0.0459,2.0,0.4468096086,0.555422624,0.2429275448,0.02883616
ac62c3f2547607ba0bcf702b,3354,1.12,0.1739,2.0,0.4729594931,0.3448456128,0.1796937916,0.0200684938
ac62c3f2547607ba0bcf702b,3998,0.67,0.0275,2.0,0.4549541175,0.2263516188,0.2509723722,0.0046055568
ac62c3f2547607ba0bcf702b,4200,0.41,0.003,2.0,0.038110859,0.0261449814,0.0264698974,0
ac62c3f2547607ba0bcf702b,4326,0.49,0.0459,2.0,0.5435119165,0.7647051811,0.1880949144,0
b2c8b9b8b3540c731f4ee20a,3028,1.63,0.0306,2.0,0.5324454724,0.5743459225,0.1887445299,0.1844752107
b2c8b9b8b3540c731f4ee20a,3029,0.95,0.0347,2.0,0.5604964724,0.6058616241,0.2525874656,0.1998211226
b2c8b9b8b3540c731f4ee20a,3030,1.22,0.0814,2.0,0.5517919835,0.381649971,0.2829480185,0.1995546407
b2c8b9b8b3540c731f4ee20a,3031,0.83,0.0596,2.0,0.524368763,0.2519290447,0.2701435625,0.0069481465
b2c8b9b8b3540c731f4ee20a,3032,0.66,0.0436,2.0,0.5349233204,0.2504382133,0.2786304933,0
b2c8b9b8b3540c731f4ee20a,4164,0.38,0.0924,2.0,0.4058637168,0.4074075222,0.2051432957,0.1868146994
b2c8b9b8b3540c731f4ee20a,4326,0.49,0.0513,2.0,0.5150152871,0.4753477275,0.1947920986,0.2019865879
b2c8b9b8b3540c731f4ee20a,4413,0.02,0.0188,2.0,0.6948036016,0.7039966583,0.1824553089,0.0301907963
b2c8b9b8b3540c731f4ee20a,4418,1.96,0.0351,2.0,0.5117684515,0.5684180856,0.197495591,0.2130816549
b6889a967adb9607b2e9a563,3028,1.63,0.03,2.0,0.535106559,0.4867915256,0.1909512848,0.1782649311
b6889a967adb9607b2e9a563,3029,0.95,0.033,2.0,0.5311965386,0.4802692277,0.1885455282,0.1872185527
b6889a967adb9607b2e9a563,3345,1.3,0.03,2.0,0.5326854407,0.5112135708,0.1945816377,0.1719237023
b6889a967adb9607b2e9a563,4326,0.49,0.0472,2.0,0.5368848861,0.4638754394,0.1873202742,0.164630704
b6889a967adb9607b2e9a563,4407,1.75,0.0677,2.0,0.6751292505,0.7365697026,0.2397865575,0.1311858436
b6889a967adb9607b2e9a563,4653,0.11,0.0989,2.0,0.2323736739,0.248166132,0.0245502761,0.01311182
c507f4f3c092fd0ffdbdfa75,3029,0.95,0.4,2.0,0.7159916162,0.7290420532,0.0029861885,0
c519557263b5b85e3cc5d4da,3028,1.63,0.0272,2.0,0.4706304414,0.3778549433,0.2169429774,0.0389311621
c519557263b5b85e3cc5d4da,3030,1.22,0.0807,2.0,0.500269413,0.2495849133,0.2739528307,0
c519557263b5b85e3cc5d4da,4326,0.49,0.0395,2.0,0.4617465019,0.3660540581,0.3421570474,0
cbabbea7ed59aaa61c777c3c,3030,1.22,0.0383,2.0,0.5417641401,0.2566249371,0.2770394427,0
cbabbea7ed59aaa61c777c3c,3032,0.66,0.0092,2.0,0.2781181335,0.3673610687,0.0335890152,0
cd824234219b1f1002aa8ae9,3028,1.63,0.0174,2.0,0.5965405345,0.7221810818,0.1732997059,0
